,entity,label,start,end
0,2型糖尿病,Disease,1673,1679
1,HDL-C,Test,2567,2572
2,HDL-C,Test,3454,3459
3,HDL-C,Test,3553,3558
4,HDL-C,Test,3811,3816
5,HDL-C,Test,5075,5080
6,HDL-C,Test,5386,5391
7,LDL-C,Test,2585,2590
8,LDL-C,Test,3424,3429
9,LDL-C,Test,3517,3522
10,LDL-C,Test,5092,5097
11,LDL-C,Test,5402,5407
12,T2DM,Disease,1680,1684
13,T2DM,Disease,4400,4404
14,T2DM,Disease,4465,4469
15,T2DM,Disease,4647,4651
16,T2DM,Disease,4673,4677
17,T2DM,Disease,5958,5962
18,二甲双胍,Drug,11,15
19,二甲双胍,Drug,100,104
20,二甲双胍,Drug,244,248
21,二甲双胍,Drug,318,322
22,二甲双胍,Drug,375,379
23,二甲双胍,Drug,1665,1669
24,二甲双胍,Drug,1787,1791
25,二甲双胍,Drug,1802,1806
26,二甲双胍,Drug,1989,1994
27,二甲双胍,Drug,2403,2407
28,二甲双胍,Drug,2954,2958
29,二甲双胍,Drug,3057,3061
30,二甲双胍,Drug,3484,3488
31,二甲双胍,Drug,3887,3891
32,二甲双胍,Drug,3953,3957
33,二甲双胍,Drug,4069,4073
34,二甲双胍,Drug,4487,4491
35,二甲双胍,Drug,4552,4556
36,二甲双胍,Drug,4743,4747
37,二甲双胍,Drug,4963,4967
38,二甲双胍,Drug,5296,5300
39,二甲双胍,Drug,5478,5482
40,二甲双胍,Drug,5891,5895
41,二甲双胍,Drug,5972,5977
42,二甲双胍,Drug,6096,6100
43,二甲双胍,Drug,6452,6456
44,二甲双胍,Drug,6498,6502
45,二甲双胍,Drug,6616,6620
46,二甲双胍,Drug,6669,6673
47,空腹血糖,Test,2528,2532
48,空腹血糖,Test,4779,4783
49,TC,Test,2543,2545
50,TC,Test,3418,3420
51,TC,Test,3511,3513
52,TC,Test,3808,3810
53,TG,Test,2553,2555
54,TG,Test,3421,3423
55,TG,Test,3514,3516
56,TG,Test,3697,3699
57,TG,Test,3788,3790
58,TG,Test,3836,3838
59,高密度脂蛋白胆固醇,Test,2557,2566
60,高密度脂蛋白胆固醇,Test,5392,5401
61,低密度脂蛋白胆固醇,Test,2574,2584
62,低密度脂蛋白胆固醇,Test,5408,5417
63,脂肪因子,Test,1721,1725
64,脂肪因子,Test,4720,4724
65,FINS,Test,2522,2526
66,FINS,Test,3410,3414
67,FINS,Test,3502,3506
68,FINS,Test,3780,3784
69,总胆固醇,Test,2538,2542
70,总胆固醇,Test,5044,5048
71,胰岛素抵抗指数,Test,5426,5433
72,HOMA-IR,Test,4809,4816
73,HOMA-IR,Test,5418,5425
74,空腹胰岛素,Test,2516,2521
75,脂肪细胞,Anatomy,1592,1597
76,3T3-L1脂肪细胞,Anatomy,5538,5549
77,利拉鲁肽,Drug,6035,6040
78,吡格列酮,Drug,5978,5982
79,甘油三酯,Test,2548,2552
80,甘油三酯,Test,5059,5063
81,IGT,Disease,4413,4416
82,IGT,Disease,5854,5857
83,体重,Test,1696,1698
84,体重,Test,2447,2449
85,体重,Test,2998,3000
86,体重,Test,4585,4587
87,体重,Test,4773,4775
88,体重,Test,5802,5804
89,随机血糖,Test,2298,2302
90,糖尿病,Disease,92,95
91,分泌型卷曲相关蛋白5,Anatomy,1565,1576
92,SFRP5,Anatomy,1577,1582
93,脂肪组织,Anatomy,1602,1606
94,脂肪组织,Anatomy,1614,1618
95,糖尿病,Disease,1632,1635
96,糖尿病,Disease,1812,1815
97,体重,Test,1941,1944
98,糖尿病,Disease,2133,2136
99,糖尿病,Disease,2191,2194
100,糖尿病,Disease,2205,2208
101,糖尿病,Disease,2375,2379
102,糖尿病,Disease,2385,2388
103,血糖,Test,2444,2446
104,血浆SFRP5,Test,2507,2515
105,FBG,Test,2533,2536
106,消瘦,Symptom,2918,2920
107,毛色变黄,Symptom,2921,2925
108,糖尿病,Disease,3065,3068
109,FBG,Test,3406,3409
110,SFRP5,Test,3460,3465
111,升高,Test_Value,3432,3434
112,降低,Test_Value,3467,3469
113,FBG,Test,3498,3501
114,IR,Test,3507,3509
115,降低,Test_Value,3529,3531
116,SFRP5,Test,3560,3565
117,升高,Test_Value,3567,3569
118,SFRP5,Test,3604,3609
119,体重,Test,3611,3614
120,SFRP5,Test,3686,3691
121,IR,Test,3694,3696
122,SFRP5,Test,3768,3773
123,FBG,Test,3776,3779
124,IR,Test,3785,3787
125,糖尿病,Disease,3892,3895
126,SRPF5,Anatomy,4132,4137
127,Wnt5a蛋白,Anatomy,4203,4211
128,Wnt5a,Anatomy,4266,4271
129,JNK1,Anatomy,4337,4341
130,胰岛素受体底物-1,Anatomy,4344,4353
131,IRS-1,Anatomy,4354,4359
132,糖耐量受损,Disease,4406,4411
133,SFRP5,Test,4500,4505
134,SFRP5,Test,4612,4617
135,IR,Test,4620,4622
136,FBG,Test,4623,4626
137,肝脏组织,Anatomy,5504,5508
138,SFRP5,Anatomy,5572,5577
139,SFRP5,Anatomy,5619,5624
140,单核细胞趋化蛋白-1,Anatomy,5673,5684
141,糖耐量改变,Disease,5841,5846
142,胰岛素抵抗,Symptom,5930,5935
143,GLP-1激动剂,Drug,6041,6050
144,SFRP5,Test,6075,6080
145,升高,Test_Value,6082,6084
146,肝脏,Anatomy,6144,6146
147,肝脏,Anatomy,6161,6163
148,胰岛素抵抗,Symptom,6182,6187
149,肝脏,Anatomy,6279,6281
150,胰岛素抵抗,Symptom,6293,6299
151,降低,Test_Value,6303,6305
152,二甲双胍,Drug,6323,6328
153,肝脏组织,Anatomy,6332,6336
154,胰岛素抵抗,Symptom,6350,6355
155,血糖,Test,6362,6364
156,脂肪组织,Anatomy,6400,6404
157,巨噬细胞,Anatomy,6405,6409
158,肥胖,Disease,6433,6435
159,SFRP5,Test,6465,6470
160,明显升高,Test_Value,6473,6477
161,SFRP5,Anatomy,6508,6513
162,JNK,Anatomy,6528,6531
163,胰岛素抵抗,Symptom,6538,6543
164,糖尿病,Disease,6578,6581
165,血糖,Test,6652,6654
166,下降,Test_Value,6654,6656
167,IR,Symptom,6657,6659
168,糖尿病,Disease,6711,6714
169,白色脂肪组织,Anatomy,4172,4178
170,p-JNK,Test,390,395
171,p-JNK,Test,1011,1016
172,p-JNK,Test,1058,1063
173,p-JNK,Test,1304,1309
174,p-JNK,Test,1514,1519
175,p-JNK,Test,2079,2084
176,脂肪组织,Anatomy,5699,5703
177,二甲双胍,Drug,3259,3263
178,二甲双胍,Drug,3359,3363
179,JNK,Test,6266,6269
180,血糖,Test,2102,2104
181,血糖,Test,2109,2111
182,体重,Test,2260,2262
183,体重,Test,3089,3091
184,明显降低,Test_Value,3001,3005
185,IR,Test,3415,3417
186,肝细胞,Anatomy,3958,3961
187,c-Jun氨基末端激酶,Anatomy,4298,4310
188,降低,Test_Value,4431,4434
189,糖尿病,Disease,4546,4549
190,减轻,Test_Value,5804,5806
191,显著降低,Test_Value,6584,6588
192,脂肪因子,Test,4164,4168
193,糖尿病,Disease,16,19
194,胰岛素抵抗,Symptom,31,36
195,SFRP5,Anatomy,22,27
196,腹腔注射,Method,76,80
197,链脲佐菌素,Drug,80,85
198,STZ,Drug,86,89
199,5周,Duration,107,110
200,糖尿病,Disease,172,175
201,升高,Test_Value,196,198
202,下降,Test_Value,230,232
203,下降,Test_Value,275,277
204,升高,Test_Value,305,307
205,糖尿病,Disease,328,331
206,SFRP5,Anatomy,336,341
207,胰岛素,Anatomy,346,349
208,炎症状态,Reason,1618,1623
209,代谢异常,Reason,1637,1641
210,链脲佐菌素,Drug,1744,1750
211,腹腔注射,Method,1740,1744
212,STZ,Drug,1751,1754
213,糖尿病,Disease,1761,1764
214,胰岛素,Anatomy,1701,1704
215,腹腔注射,Method,2216,2221
216,STZ,Drug,2243,2246
217,30mg/kg,Amount,2249,2259
218,每天注射1次,Frequency,2269,2277
219,5d,Duration,2283,2286
220,腹腔注射,Method,2347,2351
221,颈静脉血,Anatomy,2488,2492
222,水合氯醛,Drug,2479,2483
223,肝脏,Anatomy,2597,2599
