,entity,label,start,end
0,2型糖尿病,Disease,2663,2668
1,2型糖尿病,Disease,4080,4085
2,糖化血红蛋白,Test,19,25
3,糖尿病,Disease,91,94
4,糖尿病,Disease,403,406
5,胰岛β细胞功能,Test,444,451
6,糖尿病,Disease,452,455
7,胰岛素,Test,476,479
8,餐后血糖,Test,595,599
9,低血糖,SideEff,634,637
10,胰岛素,Test,669,672
11,低血糖,SideEff,682,685
12,餐后血糖,Test,759,763
13,糖尿病,Disease,967,970
14,持续性高血糖,Disease,2045,2051
15,激活氧化应激通路,Reason,2065,2074
16,损伤内皮细胞功能,Reason,2075,2083
17,剧慢性炎症状态,Reason,2085,2093
18,血管损伤,Reason,2096,2100
19,糖尿病,Disease,2165,2168
20,冠心病,Disease,2170,2174
21,平均血糖波动幅度,Test,2200,2208
22,急性心肌梗死事件再发,Disease,2254,2264
23,心血管疾病,Disease,2286,2292
24,尿微量白蛋白排泄率,Test,2379,2388
25,动态血糖监测系统,Test,2318,2326
26,动态血糖监测,Test,2446,2452
27,自我血糖监测,Test,2506,2512
28,CGM,Test,2566,2569
29,SMBG,Test,2616,2620
30,SMBG,Test,2648,2652
31,CGM,Test,2681,2684
32,SMBG,Test,2700,2704
33,CGM,Test,2751,2754
34,CGM,Test,2767,2770
35,CGM,Test,2789,2792
36,SMBG,Test,2814,2818
37,7点SMBG,Test,2835,2841
38,餐后高血糖,Symptom,2885,2890
39,低血糖,Symptom,2891,2894
40,糖尿病,Disease,2897,2900
41,餐后高血糖,Symptom,2925,2930
42,低血糖,Symptom,2932,2935
43,胰岛素,Drug,2975,2978
44,餐后血糖,Test,2961,2965
45,胰岛素类似物,Drug,2979,2986
46,胰岛素促泌剂,Drug,2987,2993
47,低血糖,Symptom,2994,2997
48,糖尿病,Disease,3009,3012
49,胰岛素,Drug,3038,3041
50,胰岛素类似物,Drug,3042,3048
51,磺脲类药物,Drug,3049,3054
52,低血糖,SideEff,3067,3070
53,磺脲类促泌剂,Drug,3099,3105
54,α-糖苷酶抑制剂,Drug,3111,3119
55,低血糖,SideEff,3123,3126
56,胰岛素,Drug,3683,3686
57,胰岛素类似物,Drug,3687,3693
58,α-糖苷酶抑制剂,Drug,3701,3709
59,MAGE,Test,3710,3714
60,低血糖,SideEff,3779,3782
61,低血糖,SideEff,3795,3798
62,糖尿病,Disease,3877,3880
63,低血糖,SideEff,3897,3900
64,低血糖,SideEff,3907,3910
65,糖尿病,Disease,3939,3942
66,糖尿病,Disease,3947,3950
67,心血管疾病,Disease,3988,3993
68,低血糖,Symptom,3964,3967
69,糖尿病,Disease,4034,4037
70,认知功能障碍,Disease,3995,4001
71,糖尿病,Disease,4183,4186
72,糖尿病合并妊娠,Disease,4189,4196
73,妊娠期糖尿病,Disease,4197,4204
74,≤5.3mmol/L,Test_Value,4225,4235
75,6.7mmol/L,Test_Value,4236,4245
76,餐后1h血糖,Test,4255,4261
77,≤7.8mmol/L,Test_Value,4268,4278
78,夜间血糖,Test,4280,4285
79,不低于3.3mmol/L,Test_Value,4285,4297
80,糖尿病合并慢性肾脏病,Disease,4306,4316
81,糖尿病合并慢性肾脏病,Disease,4319,4330
82,肾小球滤过率,Test,4336,4342
83,低血糖,SideEff,4388,4391
84,糖尿病合并心血管疾病,Disease,4403,4413
85,心血管疾病,Disease,4419,4425
86,糖尿病,Disease,4426,4429
87,低血糖,Symptom,4439,4442
88,严重,Level,4437,4439
89,心肌梗死,Disease,4448,4452
90,严重心律失常,Disease,4453,4459
91,卒中,Disease,4460,4462
92,猝死,Disease,4463,4465
93,低血糖,Symptom,5422,5425
94,心血管疾病,Disease,5459,5464
95,糖尿病,Disease,5465,5468
96,低血糖,Symptom,5476,5479
97,<7.5%~8.0%,Test_Value,5501,5511
98,糖尿病慢性并发症,Disease,5526,5534
99,糖尿病,Disease,5670,5673
100,血糖,Test,7,9
101,血糖,Test,56,58
102,HBA1C,Test,42,47
103,HBA1C,Test,81,86
104,糖尿病,Disease,124,127
105,血糖,Test,132,134
106,HBA1C,Test,140,145
107,血糖,Test,289,291
108,HBA1C,Test,351,356
109,血糖,Test,484,486
110,血糖,Test,496,498
111,血糖,Test,547,549
112,胰岛素,Test,658,661
113,胰岛素,Drug,733,736
114,HBA1C,Test,873,878
115,血糖,Test,895,897
116,血糖,Test,973,975
