char,label
临,O
床,O
研,O
究,O
"
",O
对,O
比,O
沙,B-Drug
格,I-Drug
列,I-Drug
汀,I-Drug
、,O
二,B-Drug
甲,I-Drug
双,I-Drug
胍,I-Drug
联,O
合,O
罗,B-Drug
格,I-Drug
列,I-Drug
酮,I-Drug
的,O
三,O
联,O
方,O
案,O
与,O
胰,B-Drug
岛,I-Drug
素,I-Drug
"
",O
强,O
化,O
方,O
案,O
治,O
疗,O
初,O
诊,O
断,O
 ,O
2,B-Disease
 ,I-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
患,O
者,O
的,O
有,O
效,O
性,O
及,O
对,O
 ,O
α,O
、,O
β,B-Anatomy
细,I-Anatomy
胞,I-Anatomy
"
",O
功,O
能,O
的,O
影,O
响,O
"
",O
罗,O
惠,O
金,O
 ,O
 ,O
陈,O
容,O
平,O
 ,O
 ,O
杨,O
锐,O
 ,O
 ,O
张,O
振,O
 ,O
 ,O
易,O
敏,O
 ,O
 ,O
陈,O
宏,O
"
",O
[,O
提,O
要,O
],O
 ,O
 ,O
 ,O
将,O
初,O
诊,O
断,O
的,O
 ,O
2,B-Disease
 ,I-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
患,O
者,O
随,O
机,O
分,O
为,O
二,B-Drug
甲,I-Drug
双,I-Drug
胍,I-Drug
+,O
沙,B-Drug
格,I-Drug
列,I-Drug
汀,I-Drug
+,O
罗,B-Drug
格,I-Drug
列,I-Drug
酮,I-Drug
组,O
(,O
三,O
联,O
方,O
案,O
组,O
),O
2,O
3,O
 ,O
例,O
"
",O
和,O
预,B-Drug
混,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
强,O
化,O
组,O
(,O
胰,B-Drug
岛,I-Drug
素,I-Drug
强,O
化,O
组,O
),O
2,O
1,O
 ,O
例,O
",",O
并,O
进,O
行,O
 ,O
2,B-Duration
4,I-Duration
 ,I-Duration
周,I-Duration
的,O
干,O
预,O
治,O
疗,O
。,O
 ,O
观,O
察,O
空,B-Test
腹,I-Test
血,I-Test
糖,I-Test
、,O
胰,B-Test
岛,I-Test
素,I-Test
、,O
C,B-Test
-,I-Test
肽,I-Test
、,O
胰,B-Test
升,I-Test
"
",I-Test
糖,I-Test
素,I-Test
水,I-Test
平,I-Test
及,O
体,B-Test
重,I-Test
的,O
变,O
化,O
",",O
以,O
探,O
讨,O
口,O
服,O
三,O
联,O
方,O
案,O
与,O
预,B-Drug
混,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
强,O
化,O
方,O
案,O
治,O
疗,O
初,O
诊,O
断,O
 ,O
2,B-Disease
 ,I-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
患,O
者,O
的,O
有,O
效,O
"
",O
性,O
及,O
对,O
 ,O
α,O
、,O
β,B-Anatomy
 ,I-Anatomy
细,I-Anatomy
胞,I-Anatomy
功,O
能,O
的,O
影,O
响,O
。,O
 ,O
结,O
果,O
提,O
示,O
三,O
联,O
方,O
案,O
组,O
空,B-Test
腹,I-Test
血,I-Test
糖,I-Test
、,O
H,B-Test
B,I-Test
A,I-Test
1,I-Test
C,I-Test
、,O
稳,B-Test
态,I-Test
模,I-Test
型,I-Test
 ,I-Test
2,I-Test
 ,I-Test
胰,I-Test
岛,I-Test
素,I-Test
抵,I-Test
抗,I-Test
指,I-Test
数,I-Test
"
",O
(,O
H,B-Test
O,I-Test
M,I-Test
A,I-Test
2,I-Test
-,I-Test
I,I-Test
R,I-Test
),O
、,O
胰,B-Test
升,I-Test
糖,I-Test
素,I-Test
及,O
体,B-Test
重,I-Test
指,I-Test
数,I-Test
水,O
平,O
均,O
明,B-Test_Value
显,I-Test_Value
下,I-Test_Value
降,I-Test_Value
",",O
且,O
胰,B-Test
升,I-Test
糖,I-Test
素,I-Test
的,O
下,O
降,O
幅,O
度,O
显,O
著,O
高,O
于,O
胰,B-Drug
岛,I-Drug
素,I-Drug
强,O
化,O
组,O
。,O
 ,O
表,O
"
",O
明,O
三,O
联,O
治,O
疗,O
组,O
有,O
效,O
降,O
糖,O
的,O
同,O
时,O
减,O
轻,O
胰,B-Symptom
岛,I-Symptom
素,I-Symptom
抵,I-Symptom
抗,I-Symptom
的,O
作,O
用,O
更,O
强,O
",",O
并,O
具,O
有,O
显,O
著,O
抑,O
制,O
胰,B-Test
升,I-Test
糖,I-Test
素,I-Test
水,I-Test
平,I-Test
和,O
减,O
轻,O
体,B-Test
重,I-Test
的,O
"
",O
作,O
用,O
。,O
"
",O
[,O
关,O
键,O
词,O
],O
 ,O
 ,O
 ,O
糖,O
尿,O
病,O
",",O
 ,O
2,O
 ,O
型,O
;,O
 ,O
三,O
联,O
治,O
疗,O
;,O
 ,O
胰,O
岛,O
素,O
强,O
化,O
治,O
疗,O
;,O
 ,O
α,O
 ,O
细,O
胞,O
、,O
 ,O
β,B-Anatomy
 ,I-Anatomy
细,I-Anatomy
胞,I-Anatomy
"
",O
T,O
r,O
i,O
p,O
l,O
e,O
 ,O
c,O
o,O
m,O
b,O
i,O
n,O
a,O
t,O
i,O
o,O
n,O
 ,O
t,O
h,O
e,O
r,O
a,O
p,O
y,O
 ,O
u,O
s,O
i,O
n,O
g,O
 ,O
s,O
a,O
x,O
a,O
g,O
l,O
i,O
p,O
t,O
i,O
n,O
 ,O
/,O
 ,O
m,O
e,O
t,O
f,O
o,O
r,O
m,O
i,O
n,O
 ,O
/,O
 ,O
r,O
o,O
s,O
i,O
g,O
l,O
i,O
t,O
a,O
z,O
