char,label
心,B-Disease
血,I-Disease
管,I-Disease
疾,I-Disease
病,I-Disease
合,O
并,O
糖,B-Disease
尿,I-Disease
病,I-Disease
口,B-Drug
服,I-Drug
降,I-Drug
糖,I-Drug
药,I-Drug
物,I-Drug
应,O
用,O
专,O
家,O
共,O
识,O
"
",O
高,O
颖,O
 ,O
杨,O
光,O
燃,O
 ,O
周,O
迎,O
生,O
 ,O
洪,O
天,O
配,O
 ,O
姜,O
红,O
孙,O
宁,O
玲,O
严,O
晓,O
伟,O
 ,O
李,O
建,O
军,O
"
",O
董,O
吁,O
钢,O
 ,O
李,O
新,O
立,O
 ,O
李,O
凌,O
 ,O
杨,O
萍,O
 ,O
李,O
全,O
民,O
唐,O
梅,O
谌,O
贻,O
璞,O
 ,O
马,O
长,O
生,O
"
",O
2,O
0,O
0,O
8,O
年,O
中,O
国,O
糖,O
尿,O
病,O
流,O
行,O
病,O
学,O
调,O
查,O
显,O
示,O
",",O
中,O
国,O
2,O
0,O
岁,O
及,O
以,O
"
",O
上,O
人,O
群,O
2,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
患,O
病,O
率,O
为,O
9,O
.,O
7,O
%,O
⋯,O
。,O
2,O
0,O
1,O
0,O
年,O
调,O
查,O
的,O
全,O
国,O
"
",O
成,O
年,O
人,O
糖,B-Disease
尿,I-Disease
病,I-Disease
患,O
病,O
率,O
为,O
1,O
1,O
.,O
6,O
%,O
。,O
⋯,O
。,O
2,O
0,O
1,O
3,O
年,O
国,O
际,O
糖,O
尿,O
病,O
联,O
盟,O
"
",O
发,O
布,O
的,O
第,O
6,O
版,O
“,O
糖,O
尿,O
病,O
地,O
图,O
”,O
公,O
布,O
。,O
3,O
1,O
",",O
中,O
国,O
糖,B-Disease
尿,I-Disease
病,I-Disease
的,O
患,O
病,O
人,O
"
",O
数,O
为,O
9,O
 ,O
8,O
4,O
0,O
万,O
",",O
居,O
全,O
球,O
首,O
位,O
",",O
而,O
全,O
球,O
成,O
年,O
人,O
糖,B-Disease
尿,I-Disease
病,I-Disease
患,O
病,O
率,O
为,O
"
",O
8,O
.,O
3,O
%,O
。,O
"
",O
心,B-Disease
血,I-Disease
管,I-Disease
疾,I-Disease
病,I-Disease
与,O
糖,B-Disease
尿,I-Disease
病,I-Disease
关,O
系,O
密,O
切,O
。,O
2,O
0,O
0,O
6,O
年,O
的,O
“,O
中,O
国,O
心,O
脏,O
"
",O
调,O
查,O
”,O
发,O
现,O
",",O
慢,B-Disease
性,I-Disease
稳,I-Disease
定,I-Disease
性,I-Disease
心,I-Disease
绞,I-Disease
痛,I-Disease
和,O
急,B-Disease
性,I-Disease
冠,I-Disease
状,I-Disease
动,I-Disease
脉,I-Disease
综,I-Disease
合,I-Disease
征,I-Disease
"
",I-Disease
(,I-Disease
A,I-Disease
C,I-Disease
S,I-Disease
),I-Disease
的,O
住,O
院,O
患,O
者,O
中,O
",",O
约,O
8,O
0,O
%,O
存,O
在,O
不,O
同,O
程,O
度,O
的,O
糖,B-Symptom
代,I-Symptom
谢,I-Symptom
异,I-Symptom
常,I-Symptom
",",O
"
",O
其,O
中,O
糖,B-Disease
尿,I-Disease
病,I-Disease
占,O
5,O
2,O
.,O
9,O
%,O
",",O
糖,B-Disease
尿,I-Disease
病,I-Disease
前,I-Disease
期,I-Disease
占,O
2,O
6,O
.,O
4,O
%,O
。,O
4,O
。,O
。,O
中,O
国,O
医,O
院,O
"
",O
门,O
诊,O
高,B-Disease
血,I-Disease
压,I-Disease
患,O
者,O
中,O
",",O
糖,B-Disease
尿,I-Disease
病,I-Disease
患,O
病,O
率,O
为,O
2,O
4,O
.,O
3,O
%,O
L,O
"
",O
5,O
"
",O
3,O
。,O
中,O
华,O
医,O
学,O
"
",O
会,O
糖,O
尿,O
病,O
学,O
分,O
会,O
慢,O
性,O
并,O
发,O
症,O
调,O
查,O
组,O
报,O
告,O
",",O
1,O
9,O
9,O
1,O
—,O
2,O
0,O
0,O
0,O
年,O
部,O
"
",O
分,O
三,O
级,O
甲,O
等,O
医,O
院,O
住,O
院,O
的,O
2,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
患,O
者,O
合,O
并,O
高,B-Disease
血,I-Disease
压,I-Disease
者,O
占,O
"
",O
3,O
4,O
.,O
2,O
%,O
",",O
合,O
并,O
其,O
他,O
心,B-Disease
血,I-Disease
管,I-Disease
疾,I-Disease
病,I-Disease
者,O
占,O
1,O
7,O
.,O
1,O
%,O
L,O
6,O
 ,O
J,O
。,O
荟,O
萃,O
分,O
析,O
表,O
"
",O
明,O
",",O
糖,O
化,O
血,O
红,O
蛋,O
白,O
(,O
H,B-Test
B,I-Test
A,I-Test
1,I-Test
C,I-Test
 ,O
 ,O
c,O
),O
在,O
5,B-Test_Value
%,I-Test_Value
以,O
上,O
的,O
患,O
者,O
",",O
H,O
b,O
A,O
l,O
 ,O
C,O
每,O
增,O
"
",O
加,O
1,O
%,O
",",O
心,B-Disease
血,I-Disease
管,I-Disease
事,I-Disease
件,I-Disease
风,O
险,O
增,O
加,O
2,O
1,O
%,O
。,O
7,O
j,O
。,O
"
",O
血,B-Test
糖,I-Test
控,O
制,O
情,O
况,O
影,O
响,O
心,B-Disease
血,I-Disease
管,I-Disease
疾,I-Disease
病,I-Disease
(,I-Disease
C,I-Disease
V,I-Disease
D,I-Disease
),I-Disease
患,O
者,O
预,O
后,O
。,O
英,O
国,O
"
",O
前,O
瞻,O
性,O
糖,O
尿,O
病,O
研,O
究,O
(,O
U,O
K,O
P,O
D,O
S,O
),O
提,O
示,O
