char,label
基,O
金,O
项,O
目,O
:,O
公,O
益,O
性,O
卫,O
生,O
行,O
业,O
科,O
研,O
专,O
项,O
(,O
2,O
0,O
0,O
8,O
0,O
2,O
0,O
2,O
8,O
),O
"
",O
院,O
核,O
医,O
学,O
科,O
(,O
黄,O
钢,O
),O
"
",O
1,B-Drug
3,I-Drug
1,I-Drug
 ,I-Drug
I,I-Drug
 ,O
治,O
疗,O
格,B-Disease
雷,I-Disease
夫,I-Disease
斯,I-Disease
甲,I-Disease
亢,I-Disease
指,O
南,O
"
",O
(,O
2,O
0,O
1,O
3,O
 ,O
版,O
),O
"
",O
中,O
华,O
医,O
学,O
会,O
核,O
医,O
学,O
分,O
会,O
"
",O
编,O
写,O
委,O
员,O
会,O
"
",O
蒋,O
宁,O
一,O
 ,O
 ,O
5,O
1,O
0,O
1,O
2,O
0,O
 ,O
广,O
州,O
",",O
中,O
山,O
大,O
学,O
孙,O
≥,O
仙,O
纪,O
念,O
医,O
院,O
核,O
医,O
学,O
科,O
"
",O
林,O
岩,O
松,O
 ,O
 ,O
1,O
0,O
0,O
7,O
3,O
0,O
 ,O
中,O
国,O
医,O
学,O
科,O
学,O
院,O
、,O
北,O
京,O
协,O
和,O
医,O
学,O
院,O
北,O
京,O
协,O
和,O
医,O
院,O
核,O
医,O
学,O
科,O
"
",O
关,O
海,O
霞,O
 ,O
 ,O
1,O
1,O
0,O
0,O
0,O
1,O
 ,O
沈,O
阳,O
",",O
中,O
国,O
医,O
科,O
大,O
学,O
第,O
一,O
医,O
院,O
内,O
分,O
泌,O
科,O
"
",O
谭,O
 ,O
 ,O
建,O
 ,O
 ,O
3,O
0,O
0,O
0,O
5,O
2,O
 ,O
天,O
津,O
医,O
科,O
大,O
学,O
总,O
医,O
院,O
核,O
医,O
学,O
科,O
"
",O
李,O
 ,O
 ,O
林,O
 ,O
 ,O
6,O
1,O
0,O
0,O
4,O
1,O
 ,O
成,O
都,O
",",O
四,O
川,O
大,O
学,O
华,O
西,O
医,O
院,O
核,O
医,O
学,O
科,O
"
",O
高,O
再,O
荣,O
 ,O
 ,O
4,O
3,O
0,O
0,O
2,O
2,O
 ,O
武,O
汉,O
",",O
华,O
中,O
科,O
技,O
大,O
学,O
同,O
济,O
医,O
学,O
院,O
附,O
属,O
协,O
和,O
医,O
院,O
核,O
医,O
学,O
科,O
"
",O
陆,O
汉,O
魁,O
 ,O
 ,O
2,O
0,O
0,O
2,O
3,O
3,O
 ,O
上,O
海,O
交,O
通,O
大,O
学,O
附,O
属,O
第,O
六,O
人,O
民,O
医,O
院,O
核,O
医,O
学,O
科,O
"
",O
吴,O
艺,O
捷,O
 ,O
 ,O
2,O
0,O
0,O
0,O
8,O
0,O
 ,O
上,O
海,O
交,O
通,O
大,O
学,O
附,O
属,O
第,O
一,O
人,O
民,O
医,O
院,O
内,O
分,O
泌,O
科,O
"
",O
管,O
 ,O
 ,O
樑,O
 ,O
 ,O
2,O
0,O
0,O
0,O
2,O
5,O
 ,O
上,O
海,O
交,O
通,O
